Connected
         12897911 function calls (12747062 primitive calls) in 105.288 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3710    0.004    0.000    0.004    0.000 client.py:36(NumPlayersReady)
        1    0.003    0.003    0.028    0.028 client.py:4(<module>)
      896    0.054    0.000    0.054    0.000 client.py:49(Network_update)
        2    0.000    0.000    0.000    0.000 client.py:54(Network_players)
        2    0.000    0.000    0.000    0.000 client.py:69(Network_player_ready)
       31    0.000    0.000    0.000    0.000 client.py:72(Network_countdown)
        1    0.000    0.000    0.000    0.000 client.py:76(Network_ping)
        1    0.000    0.000    0.000    0.000 client.py:84(Network_connected)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
        6    0.002    0.000    0.003    0.000 collections.py:237(namedtuple)
        1    0.000    0.000    0.000    0.000 collections.py:25(OrderedDict)
      244    0.000    0.000    0.000    0.000 collections.py:277(<genexpr>)
       30    0.000    0.000    0.000    0.000 collections.py:294(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:356(Counter)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:21(get_BytesIO)
        2    0.000    0.000    0.000    0.000 compat.py:8(geterror)
        2    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        2    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
        1    0.000    0.000    0.000    0.000 cursors.py:32(<module>)
        1    0.000    0.000    0.000    0.000 dep_util.py:5(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:13(DistutilsError)
        1    0.000    0.000    0.000    0.000 errors.py:16(DistutilsModuleError)
        1    0.000    0.000    0.000    0.000 errors.py:20(DistutilsClassError)
        1    0.000    0.000    0.000    0.000 errors.py:26(DistutilsGetoptError)
        1    0.000    0.000    0.000    0.000 errors.py:29(DistutilsArgError)
        1    0.000    0.000    0.000    0.000 errors.py:33(DistutilsFileError)
        1    0.000    0.000    0.000    0.000 errors.py:38(DistutilsOptionError)
        1    0.000    0.000    0.000    0.000 errors.py:46(DistutilsSetupError)
        1    0.000    0.000    0.000    0.000 errors.py:50(DistutilsPlatformError)
        1    0.000    0.000    0.000    0.000 errors.py:55(DistutilsExecError)
        1    0.000    0.000    0.000    0.000 errors.py:59(DistutilsInternalError)
        1    0.000    0.000    0.000    0.000 errors.py:63(DistutilsTemplateError)
        1    0.000    0.000    0.000    0.000 errors.py:66(DistutilsByteCompileError)
        1    0.000    0.000    0.000    0.000 errors.py:70(CCompilerError)
        1    0.000    0.000    0.000    0.000 errors.py:73(PreprocessError)
        1    0.000    0.000    0.000    0.000 errors.py:76(CompileError)
        1    0.000    0.000    0.000    0.000 errors.py:79(LibError)
        1    0.000    0.000    0.000    0.000 errors.py:83(LinkError)
        1    0.000    0.000    0.000    0.000 errors.py:87(UnknownFileError)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
        1    0.001    0.001    0.001    0.001 expat.py:1(<module>)
        2    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        6    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.001    0.001    0.015    0.015 inspect.py:25(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:630(EndOfBlock)
        1    0.000    0.000    0.000    0.000 inspect.py:632(BlockFinder)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.097    0.097  105.288  105.288 ld24.py:1(<module>)
      573    0.000    0.000    0.000    0.000 ld24.py:12(default_event_handler)
        1    0.000    0.000    1.002    1.002 ld24.py:21(start_game)
        1    0.000    0.000    0.000    0.000 loadcellgraphic.py:1(<module>)
      600    2.609    0.004    2.869    0.005 loadcellgraphic.py:4(load_cell)
        1    0.000    0.000    0.000    0.000 loadfont.py:1(<module>)
        6    0.005    0.001    0.012    0.002 loadfont.py:6(load_font)
        1    0.000    0.000    0.000    0.000 locals.py:24(<module>)
        1    0.000    0.000    0.000    0.000 log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 log.py:14(Log)
        1    0.000    0.000    0.000    0.000 log.py:16(__init__)
        1    0.002    0.002    0.013    0.013 menus.py:1(<module>)
        1    0.000    0.000    0.000    0.000 menus.py:11(MenuEntry)
        5    0.000    0.000    0.003    0.001 menus.py:12(__init__)
        5    0.000    0.000    0.003    0.001 menus.py:30(render_images)
        1    0.000    0.000    0.000    0.000 menus.py:41(MenuScreen)
        2    0.000    0.000    0.032    0.016 menus.py:42(__init__)
      473    0.002    0.000    1.004    0.002 menus.py:62(input)
      473    0.019    0.000    8.914    0.019 menus.py:98(update)
      920    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
       22    0.000    0.000    0.000    0.000 ntpath.py:164(split)
        6    0.000    0.000    0.000    0.000 ntpath.py:189(splitext)
        6    0.000    0.000    0.000    0.000 ntpath.py:196(basename)
        6    0.000    0.000    0.000    0.000 ntpath.py:203(dirname)
       15    0.000    0.000    0.000    0.000 ntpath.py:398(normpath)
       14    0.000    0.000    0.000    0.000 ntpath.py:42(normcase)
       15    0.000    0.000    0.000    0.000 ntpath.py:466(abspath)
      883    0.001    0.000    0.001    0.000 ntpath.py:55(isabs)
      877    0.002    0.000    0.003    0.000 ntpath.py:63(join)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        6    0.000    0.000    0.000    0.000 opcode.py:35(jrel_op)
        6    0.000    0.000    0.000    0.000 opcode.py:39(jabs_op)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 os.py:419(__setitem__)
        2    0.000    0.000    0.000    0.000 os.py:422(__getitem__)
        4    0.000    0.000    0.000    0.000 os.py:442(__contains__)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1108(safe_name)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1116(safe_version)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1149(NullProvider)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1156(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1169(has_resource)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1172(has_metadata)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1231(_fn)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1246(EggProvider)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1249(__init__)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1253(_setup_prefix)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1272(DefaultProvider)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1275(_has)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1284(get_resource_stream)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1297(EmptyProvider)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1305(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1313(ZipProvider)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1323(_zipinfo_name)
        1    0.000    0.000    0.010    0.010 pkg_resources.py:14(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1419(_index)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1436(_has)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1477(FileMetadata)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1489(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1492(has_metadata)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1518(PathMetadata)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1538(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1543(EggMetadata)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1546(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1559(ImpWrapper)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1580(ImpLoader)
