Server launched
         4550494 function calls (4283388 primitive calls) in 3.531 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 expat.py:1(<module>)
        2    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        6    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 hashlib.py:55(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.001    0.001    0.015    0.015 inspect.py:25(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:630(EndOfBlock)
        1    0.000    0.000    0.000    0.000 inspect.py:632(BlockFinder)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 loadcellgraphic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 locals.py:24(<module>)
        1    0.000    0.000    0.000    0.000 log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 log.py:14(Log)
        1    0.000    0.000    0.000    0.000 log.py:16(__init__)
       51    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
       22    0.000    0.000    0.000    0.000 ntpath.py:164(split)
        6    0.000    0.000    0.000    0.000 ntpath.py:189(splitext)
        6    0.000    0.000    0.000    0.000 ntpath.py:196(basename)
        6    0.000    0.000    0.000    0.000 ntpath.py:203(dirname)
       15    0.000    0.000    0.000    0.000 ntpath.py:398(normpath)
       14    0.000    0.000    0.000    0.000 ntpath.py:42(normcase)
       15    0.000    0.000    0.000    0.000 ntpath.py:466(abspath)
       14    0.000    0.000    0.000    0.000 ntpath.py:55(isabs)
       13    0.000    0.000    0.000    0.000 ntpath.py:63(join)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        6    0.000    0.000    0.000    0.000 opcode.py:35(jrel_op)
        6    0.000    0.000    0.000    0.000 opcode.py:39(jabs_op)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 os.py:419(__setitem__)
        1    0.000    0.000    0.000    0.000 os.py:422(__getitem__)
        3    0.000    0.000    0.000    0.000 os.py:442(__contains__)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1108(safe_name)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1116(safe_version)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1149(NullProvider)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1156(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1169(has_resource)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1172(has_metadata)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1231(_fn)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1246(EggProvider)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1249(__init__)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1253(_setup_prefix)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1272(DefaultProvider)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1275(_has)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1284(get_resource_stream)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1297(EmptyProvider)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1305(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1313(ZipProvider)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1323(_zipinfo_name)
        1    0.000    0.000    0.010    0.010 pkg_resources.py:14(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1419(_index)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1436(_has)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1477(FileMetadata)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1489(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1492(has_metadata)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1518(PathMetadata)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1538(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1543(EggMetadata)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1546(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1559(ImpWrapper)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1580(ImpLoader)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1643(register_finder)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:165(ResolutionError)
       24    0.000    0.000    0.001    0.000 pkg_resources.py:1653(find_distributions)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1659(find_in_zip)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1682(find_nothing)
       22    0.001    0.000    0.003    0.000 pkg_resources.py:1686(find_on_path)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:169(VersionConflict)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:172(DistributionNotFound)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1726(register_namespace_handler)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:175(UnknownExtra)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1795(fixup_namespace_packages)
       14    0.000    0.000    0.000    0.000 pkg_resources.py:1827(normalize_path)
       55    0.000    0.000    0.000    0.000 pkg_resources.py:1831(_normalize_cached)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:185(register_loader_type)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1929(EntryPoint)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:194(get_provider)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2052(Distribution)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:2054(__init__)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:2068(from_location)
       21    0.000    0.000    0.000    0.000 pkg_resources.py:2098(key)
        1    0.001    0.001    0.002    0.002 pkg_resources.py:215(get_build_platform)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:2161(_get_metadata)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:2166(activate)
        9    0.000    0.000    0.000    0.000 pkg_resources.py:2198(__getattr__)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:2205(from_filename)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:2257(insert_on)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2462(Requirement)
       26    0.000    0.000    0.000    0.000 pkg_resources.py:2530(_get_mro)
       18    0.000    0.000    0.000    0.000 pkg_resources.py:2533(cls)
       26    0.000    0.000    0.001    0.000 pkg_resources.py:2537(_find_adapter)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2587(_initialize)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:2623(<lambda>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:329(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:370(IResourceProvider)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:411(WorkingSet)
        1    0.000    0.000    0.002    0.002 pkg_resources.py:414(__init__)
       24    0.000    0.000    0.004    0.000 pkg_resources.py:428(add_entry)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:44(_declare_state)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:493(__iter__)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:506(add)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:673(subscribe)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:681(_added_new)
        1    0.000    0.000    0.002    0.002 pkg_resources.py:698(Environment)
